Date,Asset,Mu_Annual,Sigma_Annual
2021-01-04,BBCA.JK,0.7762205546530975,0.24825867808544522
2021-01-04,ASII.JK,0.8972025757228681,0.36609514807846416
2021-01-04,TLKM.JK,0.8430092634356519,0.429689546755376
2021-01-04,TPIA.JK,0.9407015368124759,0.2053922578528648
2021-02-02,BBCA.JK,0.6602528535220639,0.27205086654414967
2021-02-02,ASII.JK,0.4451402933743461,0.3759856942417383
2021-02-02,TLKM.JK,0.8044597853673793,0.4589357377544568
2021-02-02,TPIA.JK,1.1533804526469875,0.22916553616475605
2021-03-04,BBCA.JK,0.38606102421721833,0.25605055644942804
2021-03-04,ASII.JK,0.09052707300633223,0.3535315659278952
2021-03-04,TLKM.JK,-0.023563121539019648,0.4128100734092412
2021-03-04,TPIA.JK,0.22437889735679195,0.29714501549707173
2021-04-06,BBCA.JK,-0.4259272232656295,0.25909950835637585
2021-04-06,ASII.JK,-0.6156795888909654,0.3063002732609908
2021-04-06,TLKM.JK,-0.1301701065757961,0.3410338055580191
2021-04-06,TPIA.JK,0.6714436308169959,0.32565669280372567
2021-05-05,BBCA.JK,-0.18982981237587696,0.24787937833750825
2021-05-05,ASII.JK,-0.2718819367371196,0.2991579620698475
2021-05-05,TLKM.JK,-0.07527143247394143,0.27072976768786305
2021-05-05,TPIA.JK,-0.33851982272024406,0.3146786377725652
2021-06-10,BBCA.JK,-0.05999570609544068,0.21312792375572823
2021-06-10,ASII.JK,-0.12167137278434462,0.2766369335261505
2021-06-10,TLKM.JK,0.23607579019466804,0.24704668525901352
2021-06-10,TPIA.JK,-0.743183879965229,0.38097291813524203
2021-07-09,BBCA.JK,-0.04353616003457182,0.204273580771267
2021-07-09,ASII.JK,-0.3089307488348036,0.27573818773140624
2021-07-09,TLKM.JK,-0.25923253737967467,0.24921117430030823
2021-07-09,TPIA.JK,-0.4538305236903826,0.42932832431973456
2021-08-10,BBCA.JK,-0.14488909966619343,0.20394369390688288
2021-08-10,ASII.JK,-0.5212532744234027,0.26188827734571546
2021-08-10,TLKM.JK,0.26296311186404137,0.28547443494412444
2021-08-10,TPIA.JK,-0.17251095966659627,0.4464322412815506
2021-09-10,BBCA.JK,-0.03081548738264454,0.20586434105524204
2021-09-10,ASII.JK,0.03746188741249549,0.2778416211914246
2021-09-10,TLKM.JK,-0.10649973432181073,0.25608468167412274
2021-09-10,TPIA.JK,-0.6471236905517689,0.4193465110249125
2021-10-11,BBCA.JK,0.7780147545483983,0.2516240573505392
2021-10-11,ASII.JK,0.7787795069378411,0.3452678116629116
2021-10-11,TLKM.JK,0.7496148573536399,0.24386596831362994
2021-10-11,TPIA.JK,-1.2346527358936648,0.37075572665212003
2021-11-10,BBCA.JK,0.8024118500902735,0.23656782789515438
2021-11-10,ASII.JK,0.7441880921743989,0.3586871815057695
2021-11-10,TLKM.JK,0.5631372316256175,0.2339524307887148
2021-11-10,TPIA.JK,-0.912496284003795,0.3887190560697564
2021-12-09,BBCA.JK,0.5419150272745378,0.2502958874970905
2021-12-09,ASII.JK,0.3038880343608065,0.39265581536689803
2021-12-09,TLKM.JK,0.8355532385237693,0.3017907372886016
2021-12-09,TPIA.JK,-0.12904298021471644,0.2996423844057379
2022-01-10,BBCA.JK,0.22909614864067165,0.19961520499362043
2022-01-10,ASII.JK,-0.053131279950682966,0.331103763024241
2022-01-10,TLKM.JK,0.36697246733078653,0.29803551046903093
2022-01-10,TPIA.JK,0.09931231219666961,0.25615465704934043
2022-02-09,BBCA.JK,0.053270313447201234,0.1939639886930454
2022-02-09,ASII.JK,-0.4337283301749411,0.2618940286285391
2022-02-09,TLKM.JK,0.5441135266033438,0.29721390548419474
2022-02-09,TPIA.JK,1.3735786914516124,0.25061856201370725
2022-03-14,BBCA.JK,0.3189492658596638,0.20464303156677616
2022-03-14,ASII.JK,0.18214777294474924,0.27142740483845323
2022-03-14,TLKM.JK,0.40958844336980865,0.25947792299284694
2022-03-14,TPIA.JK,0.9416609533189425,0.3803678668173441
2022-04-12,BBCA.JK,0.12812504826062263,0.20610704305997113
2022-04-12,ASII.JK,0.7827973632599352,0.29001900791100643
2022-04-12,TLKM.JK,0.45885546887970285,0.2503340837823881
2022-04-12,TPIA.JK,1.6572259198671153,0.3796445565254978
2022-05-23,BBCA.JK,-0.2295740810827417,0.2636628946014127
2022-05-23,ASII.JK,1.120814625893014,0.34447064424901697
2022-05-23,TLKM.JK,-0.10582791644642027,0.2841347269074595
2022-05-23,TPIA.JK,-0.2555651585623033,0.3657633329468464
2022-06-23,BBCA.JK,-0.23842633019157228,0.27670229607593
2022-06-23,ASII.JK,0.3677683347195484,0.3157606502286187
2022-06-23,TLKM.JK,-0.35385106254690535,0.24456496714777423
2022-06-23,TPIA.JK,0.24530299494778446,0.2475689565389695
2022-07-22,BBCA.JK,-0.21397108496049097,0.29696428702490907
2022-07-22,ASII.JK,-0.3751090995872658,0.34318179259483667
2022-07-22,TLKM.JK,-0.19251204918687775,0.25107392236201903
2022-07-22,TPIA.JK,-0.4242897986074839,0.23268921832708345
2022-08-23,BBCA.JK,0.3306303359238452,0.22655333829599392
2022-08-23,ASII.JK,-0.014647239961575284,0.3020589035432287
2022-08-23,TLKM.JK,0.6477527580824252,0.2219592933370246
2022-08-23,TPIA.JK,-0.36583812562980167,0.20975819540226637
2022-09-21,BBCA.JK,0.5190404381164306,0.21026766740772107
2022-09-21,ASII.JK,0.173599600910733,0.30408011656367484
2022-09-21,TLKM.JK,0.3012132513505464,0.2286150947154422
2022-09-21,TPIA.JK,0.2461566950949485,0.33416168397677665
2022-10-20,BBCA.JK,0.49565072200558685,0.1810309135088661
2022-10-20,ASII.JK,0.3456353862125863,0.2384575516137166
2022-10-20,TLKM.JK,-0.028928828686526287,0.22592407533105924
2022-10-20,TPIA.JK,0.07924913202218586,0.3505118733218286
2022-11-18,BBCA.JK,0.40372668290187624,0.2104070374020197
2022-11-18,ASII.JK,-0.35850796300630805,0.23950321351755635
2022-11-18,TLKM.JK,-0.5802941367523582,0.23375588012340018
2022-11-18,TPIA.JK,-0.11980481099368195,0.34469470927864015
2022-12-19,BBCA.JK,0.07534824422088655,0.22044592593676857
2022-12-19,ASII.JK,-0.8128856958370165,0.21866819190811748
2022-12-19,TLKM.JK,-0.7539145618664573,0.2686769118597956
2022-12-19,TPIA.JK,-0.20604295803284906,0.242542521816408
2023-01-17,BBCA.JK,-0.1550687357697453,0.22385393246695678
2023-01-17,ASII.JK,-0.5585863014487471,0.24470591590997884
2023-01-17,TLKM.JK,-0.49628803422313056,0.2727740640956471
2023-01-17,TPIA.JK,-0.13663528847047587,0.23235183476814725
2023-02-16,BBCA.JK,0.0388006418992261,0.22904930386494768
2023-02-16,ASII.JK,-0.3759790071549119,0.2393762057119366
2023-02-16,TLKM.JK,-0.2293412904583799,0.26535280200494993
2023-02-16,TPIA.JK,-0.1213381293481374,0.20328780777920458
2023-03-17,BBCA.JK,-0.16788037913900827,0.20756962752550423
2023-03-17,ASII.JK,0.10557820199317548,0.2477779703519047
2023-03-17,TLKM.JK,0.34545592615702975,0.21429089191598427
2023-03-17,TPIA.JK,-0.36736749226989784,0.2519321509163808
2023-04-27,BBCA.JK,0.48665083967344114,0.20413393849205624
2023-04-27,ASII.JK,0.7653876833057102,0.23270999846415671
2023-04-27,TLKM.JK,0.438516293432489,0.20852922628390733
2023-04-27,TPIA.JK,-0.08629908202933247,0.25228745662934704
2023-05-30,BBCA.JK,0.2854181984264684,0.1782203874270412
2023-05-30,ASII.JK,0.9508751427938545,0.23259077097962544
2023-05-30,TLKM.JK,0.439006563079594,0.21693700414267286
2023-05-30,TPIA.JK,-0.26293647429936035,0.2873133074910136
2023-07-05,BBCA.JK,0.39549625529393406,0.16483775231690898
2023-07-05,ASII.JK,0.9516643821933977,0.23129170366394775
2023-07-05,TLKM.JK,0.08646304259186119,0.20426880310809017
2023-07-05,TPIA.JK,-0.34533473145993526,0.2519068907623448
2023-08-04,BBCA.JK,0.04417980983374701,0.13754266324446235
2023-08-04,ASII.JK,0.43013512973691187,0.2154645259231181
2023-08-04,TLKM.JK,-0.4402211617755308,0.1862568549228644
2023-08-04,TPIA.JK,-0.4182872653280382,0.24470038320705167
2023-09-05,BBCA.JK,-0.010999898294261417,0.13090327852442618
2023-09-05,ASII.JK,0.062054739086421465,0.2056376628446914
2023-09-05,TLKM.JK,-0.23664223431791775,0.16343056038139095
2023-09-05,TPIA.JK,-0.0763314410854307,0.22236150610101751
2023-10-05,BBCA.JK,0.06681640604028143,0.13574279272681705
2023-10-05,ASII.JK,-0.4432655439819863,0.17216108334773927
2023-10-05,TLKM.JK,-0.20955754745032554,0.174035983827248
2023-10-05,TPIA.JK,0.8992208875476286,0.37449929056352066
2023-11-03,BBCA.JK,-0.1354964336238079,0.1701651403755643
2023-11-03,ASII.JK,-0.5801433912189303,0.1731944867852326
2023-11-03,TLKM.JK,-0.07784557032913529,0.20923740771876742
2023-11-03,TPIA.JK,1.4340481161558816,0.40879447336481783
2023-12-04,BBCA.JK,-0.12300729722784474,0.17673162479226948
2023-12-04,ASII.JK,-0.4939961785082461,0.22898751008134482
2023-12-04,TLKM.JK,0.0966507657326994,0.22386477919225078
2023-12-04,TPIA.JK,1.4238537161516556,0.4081999242374351
