Date,Coefficient,Term
2021-01-04,-10.171109418120485,PauliZ
2021-01-04,-16.820838599205427,PauliZ
2021-01-04,-17.91111806607164,PauliZ
2021-01-04,-8.588141769326384,PauliZ
2021-01-04,0.023674756831528976,Prod
2021-01-04,0.07095453286337139,Prod
2021-01-04,0.022029559112423103,Prod
2021-01-04,0.045411887561236375,Prod
2021-01-04,0.0005816658494239846,Prod
2021-01-04,0.017895119396230452,Prod
2021-01-04,5.0,Identity
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-01-04,2.5,Prod
2021-02-02,-10.568991985979464,PauliZ
2021-02-02,-16.567441006637104,PauliZ
2021-02-02,-19.524052247622567,PauliZ
2021-02-02,-9.34480858192565,PauliZ
2021-02-02,0.04164626596733623,Prod
2021-02-02,0.047495734834084535,Prod
2021-02-02,0.011091799631923083,Prod
2021-02-02,0.06598333839614567,Prod
2021-02-02,0.018379384603773197,Prod
2021-02-02,0.05126855932558794,Prod
2021-02-02,5.0,Identity
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-02-02,2.5,Prod
2021-03-04,-6.7254041114901035,PauliZ
2021-03-04,-9.783260393452062,PauliZ
2021-03-04,-10.388164671980311,PauliZ
2021-03-04,-8.936687137462505,PauliZ
2021-03-04,0.024147319538539325,Prod
2021-03-04,0.01702336275613958,Prod
2021-03-04,0.022756403548654935,Prod
2021-03-04,0.03865960819747527,Prod
2021-03-04,0.005974208117253577,Prod
2021-03-04,0.008776349863867328,Prod
2021-03-04,5.0,Identity
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-03-04,2.5,Prod
2021-04-06,-9.712752075603591,PauliZ
2021-04-06,-12.299023993875048,PauliZ
2021-04-06,-12.09286674481608,PauliZ
2021-04-06,-12.078718294767276,PauliZ
2021-04-06,0.02959059344025694,Prod
2021-04-06,0.0005777632463441762,Prod
2021-04-06,0.03303246148446215,Prod
2021-04-06,0.020682061266972918,Prod
2021-04-06,0.021646531001983327,Prod
2021-04-06,0.02620002367269003,Prod
2021-04-06,5.0,Identity
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-04-06,2.5,Prod
2021-05-05,-7.469080371929114,PauliZ
2021-05-05,-9.588637656254177,PauliZ
2021-05-05,-7.078223505611671,PauliZ
2021-05-05,-10.209346774951946,PauliZ
2021-05-05,0.033155920413697526,Prod
2021-05-05,0.00802814245024086,Prod
2021-05-05,0.020144304197623253,Prod
2021-05-05,0.02866790277713238,Prod
2021-05-05,0.008793344873096798,Prod
2021-05-05,0.00802814245024086,Prod
2021-05-05,5.0,Identity
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-05-05,2.5,Prod
2021-06-10,-7.420450944937406,PauliZ
2021-06-10,-9.836603156390163,PauliZ
2021-06-10,-7.913427533947939,PauliZ
2021-06-10,-13.233566923272322,PauliZ
2021-06-10,0.035905298038916955,Prod
2021-06-10,0.04414216612256805,Prod
2021-06-10,0.005263630373335992,Prod
2021-06-10,0.027578910966329806,Prod
2021-06-10,0.026123126279441244,Prod
2021-06-10,0.03203519277155298,Prod
2021-06-10,5.0,Identity
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-06-10,2.5,Prod
2021-07-09,-6.675601888415119,PauliZ
2021-07-09,-8.94124321450248,PauliZ
2021-07-09,-7.882103528017436,PauliZ
2021-07-09,-13.420400237931227,PauliZ
2021-07-09,0.01712438952378803,Prod
2021-07-09,0.10773780618474849,Prod
2021-07-09,0.0003507958462567462,Prod
2021-07-09,0.03581623874970652,Prod
2021-07-09,0.005264911932860938,Prod
2021-07-09,0.014997212596985054,Prod
2021-07-09,5.0,Identity
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-07-09,2.5,Prod
2021-08-10,-6.863019982685579,PauliZ
2021-08-10,-9.23604440228669,PauliZ
2021-08-10,-9.015066464792758,PauliZ
2021-08-10,-13.562405331819361,PauliZ
2021-08-10,0.01258417478780105,Prod
2021-08-10,0.05139582596357517,Prod
2021-08-10,4.0589427789949895e-06,Prod
2021-08-10,0.04246265784157499,Prod
2021-08-10,0.004634882493334436,Prod
2021-08-10,0.018992463718707997,Prod
2021-08-10,5.0,Identity
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-08-10,2.5,Prod
2021-09-10,-5.782744225654876,PauliZ
2021-09-10,-8.270275244064534,PauliZ
2021-09-10,-7.986080258709204,PauliZ
2021-09-10,-11.033305887819479,PauliZ
2021-09-10,0.02298349810273148,Prod
2021-09-10,0.020188846066789834,Prod
2021-09-10,0.00482667988950003,Prod
2021-09-10,0.048930318700884934,Prod
2021-09-10,0.0038696800704784984,Prod
2021-09-10,0.020188846066789834,Prod
2021-09-10,5.0,Identity
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-09-10,2.5,Prod
2021-10-11,-10.198679606255274,PauliZ
2021-10-11,-15.426176573741861,PauliZ
2021-10-11,-11.408401669040392,PauliZ
2021-10-11,-16.398692705767566,PauliZ
2021-10-11,0.06723610314090056,Prod
2021-10-11,0.00415330377811407,Prod
2021-10-11,0.005759341962916276,Prod
2021-10-11,0.06772586456653906,Prod
2021-10-11,0.011298900754700636,Prod
2021-10-11,0.03363275365575458,Prod
2021-10-11,5.0,Identity
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-10-11,2.5,Prod
2021-11-10,-9.048551218100785,PauliZ
2021-11-10,-15.247509195030332,PauliZ
2021-11-10,-10.342429663695468,PauliZ
2021-11-10,-16.941978352196784,PauliZ
2021-11-10,0.056173805147662126,Prod
2021-11-10,0.02227440971215544,Prod
2021-11-10,0.01651280879523176,Prod
2021-11-10,0.07740702764688057,Prod
2021-11-10,0.004862922126362301,Prod
2021-11-10,0.013211624435158775,Prod
2021-11-10,5.0,Identity
2021-11-10,2.5,Prod
2021-11-10,2.5,Prod
2021-11-10,2.5,Prod
2021-11-10,2.5,Prod
2021-11-10,2.5,Prod
2021-11-10,2.5,Prod
2021-12-09,-8.486290784384602,PauliZ
2021-12-09,-14.25881762024085,PauliZ
2021-12-09,-10.339932306360746,PauliZ
2021-12-09,-11.53895187796027,PauliZ
2021-12-09,0.03727337890501081,Prod
2021-12-09,0.0161978491907131,Prod
2021-12-09,0.016266342642449638,Prod
2021-12-09,0.04246265784157499,Prod
2021-12-09,0.0038696800704784984,Prod
2021-12-09,0.0020372879012233724,Prod
2021-12-09,5.0,Identity
2021-12-09,2.5,Prod
2021-12-09,2.5,Prod
2021-12-09,2.5,Prod
2021-12-09,2.5,Prod
2021-12-09,2.5,Prod
2021-12-09,2.5,Prod
2022-01-10,-5.5260293546158765,PauliZ
2022-01-10,-9.423362402415068,PauliZ
2022-01-10,-7.925999196989506,PauliZ
2022-01-10,-7.767997735155686,PauliZ
2022-01-10,0.01258417478780105,Prod
2022-01-10,0.007619036338755603,Prod
2022-01-10,0.013891818004380552,Prod
2022-01-10,0.03792776271412057,Prod
2022-01-10,0.006736900140382751,Prod
2022-01-10,0.003978261595685817,Prod
2022-01-10,5.0,Identity
2022-01-10,2.5,Prod
2022-01-10,2.5,Prod
2022-01-10,2.5,Prod
2022-01-10,2.5,Prod
2022-01-10,2.5,Prod
2022-01-10,2.5,Prod
2022-02-09,-8.523882687030806,PauliZ
2022-02-09,-11.152671985189656,PauliZ
2022-02-09,-12.737726985844498,PauliZ
2022-02-09,-11.261441527292524,PauliZ
2022-02-09,0.025669584425765724,Prod
2022-02-09,0.00030957053569902193,Prod
2022-02-09,0.0007352245095317844,Prod
2022-02-09,0.02298349810273148,Prod
2022-02-09,0.0038696800704784984,Prod
2022-02-09,0.0024155592600618725,Prod
2022-02-09,5.0,Identity
2022-02-09,2.5,Prod
2022-02-09,2.5,Prod
2022-02-09,2.5,Prod
2022-02-09,2.5,Prod
2022-02-09,2.5,Prod
2022-02-09,2.5,Prod
2022-03-14,-8.0594459845666,PauliZ
2022-03-14,-9.77825788262489,PauliZ
2022-03-14,-10.353783996696382,PauliZ
2022-03-14,-16.073261441296907,PauliZ
2022-03-14,0.02447268920621659,Prod
2022-03-14,0.0010037250220360505,Prod
2022-03-14,0.013767244065456596,Prod
2022-03-14,0.02674357501853919,Prod
2022-03-14,0.00631587099298514,Prod
2022-03-14,0.0002603723684673209,Prod
2022-03-14,5.0,Identity
2022-03-14,2.5,Prod
2022-03-14,2.5,Prod
2022-03-14,2.5,Prod
2022-03-14,2.5,Prod
2022-03-14,2.5,Prod
2022-03-14,2.5,Prod
2022-04-12,-9.682186793168077,PauliZ
2022-04-12,-12.821424901302017,PauliZ
2022-04-12,-10.910456607732607,PauliZ
2022-04-12,-19.510580503102275,PauliZ
2022-04-12,0.015795898980949463,Prod
2022-04-12,0.00038297725913727376,Prod
2022-04-12,0.0009172997686828221,Prod
2022-04-12,0.007173465260857492,Prod
2022-04-12,0.001927103439118838,Prod
2022-04-12,0.011078921198475422,Prod
2022-04-12,5.0,Identity
2022-04-12,2.5,Prod
2022-04-12,2.5,Prod
2022-04-12,2.5,Prod
2022-04-12,2.5,Prod
2022-04-12,2.5,Prod
2022-04-12,2.5,Prod
2022-05-23,-9.259522460945528,PauliZ
2022-05-23,-12.612182717577745,PauliZ
2022-05-23,-9.563103894914063,PauliZ
2022-05-23,-13.504853768511659,PauliZ
2022-05-23,0.007627487957032386,Prod
2022-05-23,0.00392560924674501,Prod
2022-05-23,0.016636932231385515,Prod
2022-05-23,0.03151583118236001,Prod
2022-05-23,0.011566063674716354,Prod
2022-05-23,0.016763732287632616,Prod
2022-05-23,5.0,Identity
2022-05-23,2.5,Prod
2022-05-23,2.5,Prod
2022-05-23,2.5,Prod
2022-05-23,2.5,Prod
2022-05-23,2.5,Prod
2022-05-23,2.5,Prod
2022-06-23,-8.987331100641324,PauliZ
2022-06-23,-11.273036991118682,PauliZ
2022-06-23,-8.074136650059353,PauliZ
2022-06-23,-8.467473583433447,PauliZ
2022-06-23,0.00038297725913727376,Prod
2022-06-23,0.035905298038916955,Prod
2022-06-23,6.214280132410543e-05,Prod
2022-06-23,0.02227440971215544,Prod
2022-06-23,0.007030550918547762,Prod
2022-06-23,0.01496967705812069,Prod
2022-06-23,5.0,Identity
2022-06-23,2.5,Prod
2022-06-23,2.5,Prod
2022-06-23,2.5,Prod
2022-06-23,2.5,Prod
2022-06-23,2.5,Prod
2022-06-23,2.5,Prod
2022-07-22,-9.435172669974554,PauliZ
2022-07-22,-12.65562824841493,PauliZ
2022-07-22,-8.512387830548393,PauliZ
2022-07-22,-8.196502660076147,PauliZ
2022-07-22,0.01496967705812069,Prod
2022-07-22,0.01496967705812069,Prod
2022-07-22,0.011384033764887835,Prod
2022-07-22,0.01045401915335642,Prod
2022-07-22,0.008322185322105824,Prod
2022-07-22,0.01877146889805359,Prod
2022-07-22,5.0,Identity
2022-07-22,2.5,Prod
2022-07-22,2.5,Prod
2022-07-22,2.5,Prod
2022-07-22,2.5,Prod
2022-07-22,2.5,Prod
2022-07-22,2.5,Prod
2022-08-23,-8.031385843851801,PauliZ
2022-08-23,-11.558594531745262,PauliZ
2022-08-23,-9.195047140885277,PauliZ
2022-08-23,-8.253777293984475,PauliZ
2022-08-23,0.007426427356723275,Prod
2022-08-23,0.016763732287632616,Prod
2022-08-23,0.0005056809102375048,Prod
2022-08-23,0.0007567038522506842,Prod
2022-08-23,0.004862922126362301,Prod
2022-08-23,0.00042186079782635666,Prod
2022-08-23,5.0,Identity
2022-08-23,2.5,Prod
2022-08-23,2.5,Prod
2022-08-23,2.5,Prod
2022-08-23,2.5,Prod
2022-08-23,2.5,Prod
2022-08-23,2.5,Prod
2022-09-21,-6.80669428791445,PauliZ
2022-09-21,-10.93028864237291,PauliZ
2022-09-21,-8.893810829113297,PauliZ
2022-09-21,-10.502454898065372,PauliZ
2022-09-21,0.012191250803383014,Prod
2022-09-21,0.015795898980949463,Prod
2022-09-21,0.0011977005980752242,Prod
2022-09-21,0.0015362925495918667,Prod
2022-09-21,0.01504623986305309,Prod
2022-09-21,0.0013005212123176069,Prod
2022-09-21,5.0,Identity
2022-09-21,2.5,Prod
2022-09-21,2.5,Prod
2022-09-21,2.5,Prod
2022-09-21,2.5,Prod
2022-09-21,2.5,Prod
2022-09-21,2.5,Prod
2022-10-20,-5.434862438580942,PauliZ
2022-10-20,-7.511832314077188,PauliZ
2022-10-20,-8.293406846831084,PauliZ
2022-10-20,-10.633087423780504,PauliZ
2022-10-20,4.331673955482174e-05,Prod
2022-10-20,0.056863595632517416,Prod
2022-10-20,0.01504623986305309,Prod
2022-10-20,0.007619036338755603,Prod
2022-10-20,0.001924545034307057,Prod
2022-10-20,5.0,Identity
2022-10-20,2.5,Prod
2022-10-20,2.5,Prod
2022-10-20,2.5,Prod
2022-10-20,2.5,Prod
2022-10-20,2.5,Prod
2022-10-20,2.5,Prod
2022-11-18,-7.622438370545399,PauliZ
2022-11-18,-9.893447490452902,PauliZ
2022-11-18,-9.06167048898974,PauliZ
2022-11-18,-12.79447157733299,PauliZ
2022-11-18,0.00834601601472218,Prod
2022-11-18,0.06227391484659206,Prod
2022-11-18,0.0038196757178130536,Prod
2022-11-18,0.0002626930448095255,Prod
2022-11-18,0.004634882493334436,Prod
2022-11-18,1.8075569860886986e-06,Prod
2022-11-18,5.0,Identity
2022-11-18,2.5,Prod
2022-11-18,2.5,Prod
2022-11-18,2.5,Prod
2022-11-18,2.5,Prod
2022-11-18,2.5,Prod
2022-11-18,2.5,Prod
2022-12-19,-9.468652122708246,PauliZ
2022-12-19,-10.307069983687049,PauliZ
2022-12-19,-10.573618936419354,PauliZ
2022-12-19,-10.212143090133937,PauliZ
2022-12-19,0.0009209548073225715,Prod
2022-12-19,0.035845164893145265,Prod
2022-12-19,0.003558060974335975,Prod
2022-12-19,0.0009711126461235953,Prod
2022-12-19,0.000934750188940292,Prod
2022-12-19,0.0020372879012233724,Prod
2022-12-19,5.0,Identity
2022-12-19,2.5,Prod
2022-12-19,2.5,Prod
2022-12-19,2.5,Prod
2022-12-19,2.5,Prod
2022-12-19,2.5,Prod
2022-12-19,2.5,Prod
2023-01-17,-9.076036990367959,PauliZ
2023-01-17,-9.630545231456656,PauliZ
2023-01-17,-10.328879447827086,PauliZ
2023-01-17,-8.772499698097809,PauliZ
2023-01-17,0.0030963208931942265,Prod
2023-01-17,0.006452656383625577,Prod
2023-01-17,0.0033126209977907273,Prod
2023-01-17,0.0007352245095317844,Prod
2023-01-17,0.01014843630953055,Prod
2023-01-17,0.01258417478780105,Prod
2023-01-17,5.0,Identity
2023-01-17,2.5,Prod
2023-01-17,2.5,Prod
2023-01-17,2.5,Prod
2023-01-17,2.5,Prod
2023-01-17,2.5,Prod
2023-01-17,2.5,Prod
2023-02-16,-7.313262461191994,PauliZ
2023-02-16,-7.492603944573918,PauliZ
2023-02-16,-8.564377762026902,PauliZ
2023-02-16,-6.37523761180731,PauliZ
2023-02-16,0.007347127881063509,Prod
2023-02-16,0.006216826114822549,Prod
2023-02-16,0.0027060408434782524,Prod
2023-02-16,0.025906554202326015,Prod
2023-02-16,0.012769914958357775,Prod
2023-02-16,0.0411392499708767,Prod
2023-02-16,5.0,Identity
2023-02-16,2.5,Prod
2023-02-16,2.5,Prod
2023-02-16,2.5,Prod
2023-02-16,2.5,Prod
2023-02-16,2.5,Prod
2023-02-16,2.5,Prod
2023-03-17,-7.184029323752129,PauliZ
2023-03-17,-8.048988407124966,PauliZ
2023-03-17,-7.57673904308504,PauliZ
2023-03-17,-7.495180747292082,PauliZ
2023-03-17,0.019220178123541487,Prod
2023-03-17,0.0007224105191034891,Prod
2023-03-17,9.918307830680817e-05,Prod
2023-03-17,0.017895119396230452,Prod
2023-03-17,0.0026226979243881843,Prod
2023-03-17,0.04708853214457953,Prod
2023-03-17,5.0,Identity
2023-03-17,2.5,Prod
2023-03-17,2.5,Prod
2023-03-17,2.5,Prod
2023-03-17,2.5,Prod
2023-03-17,2.5,Prod
2023-03-17,2.5,Prod
2023-04-27,-8.08317656680924,PauliZ
2023-04-27,-9.162248851308268,PauliZ
2023-04-27,-8.527214909679484,PauliZ
2023-04-27,-9.963655661802559,PauliZ
2023-04-27,0.011204480569688036,Prod
2023-04-27,6.214280132410543e-05,Prod
2023-04-27,0.007949142063734316,Prod
2023-04-27,0.00022973547035420872,Prod
2023-04-27,0.011384033764887835,Prod
2023-04-27,5.0,Identity
2023-04-27,2.5,Prod
2023-04-27,2.5,Prod
2023-04-27,2.5,Prod
2023-04-27,2.5,Prod
2023-04-27,2.5,Prod
2023-04-27,2.5,Prod
2023-05-30,-7.354090525662961,PauliZ
2023-05-30,-9.407488394044927,PauliZ
2023-05-30,-9.338247141113513,PauliZ
2023-05-30,-12.861792105042541,PauliZ
2023-05-30,0.0005516434489509781,Prod
2023-05-30,0.0004325731864098792,Prod
2023-05-30,0.002967044683067188,Prod
2023-05-30,0.011204480569688036,Prod
2023-05-30,0.012848704929288246,Prod
2023-05-30,0.016929508916767366,Prod
2023-05-30,5.0,Identity
2023-05-30,2.5,Prod
2023-05-30,2.5,Prod
2023-05-30,2.5,Prod
2023-05-30,2.5,Prod
2023-05-30,2.5,Prod
2023-05-30,2.5,Prod
2023-07-05,-6.56536040855367,PauliZ
2023-07-05,-9.340802570093523,PauliZ
2023-07-05,-8.37780406740492,PauliZ
2023-07-05,-11.309315974819475,PauliZ
2023-07-05,0.006452656383625577,Prod
2023-07-05,0.02863794395830066,Prod
2023-07-05,0.0028428983171810973,Prod
2023-07-05,0.00014094075199677647,Prod
2023-07-05,0.01734120426305319,Prod
2023-07-05,0.009232052766671162,Prod
2023-07-05,5.0,Identity
2023-07-05,2.5,Prod
2023-07-05,2.5,Prod
2023-07-05,2.5,Prod
2023-07-05,2.5,Prod
2023-07-05,2.5,Prod
2023-07-05,2.5,Prod
2023-08-04,-5.617177344902004,PauliZ
2023-08-04,-8.321645980615969,PauliZ
2023-08-04,-6.7431341501736455,PauliZ
2023-08-04,-10.591466391722218,PauliZ
2023-08-04,0.004440066426254052,Prod
2023-08-04,0.0066891797316757096,Prod
2023-08-04,0.009792849351841104,Prod
2023-08-04,0.0018472479147961796,Prod
2023-08-04,0.031076704735633953,Prod
2023-08-04,0.0024155592600618725,Prod
2023-08-04,5.0,Identity
2023-08-04,2.5,Prod
2023-08-04,2.5,Prod
2023-08-04,2.5,Prod
2023-08-04,2.5,Prod
2023-08-04,2.5,Prod
2023-08-04,2.5,Prod
2023-09-05,-3.447675928974975,PauliZ
2023-09-05,-4.963871600854713,PauliZ
2023-09-05,-4.292647552511684,PauliZ
2023-09-05,-7.108947420878365,PauliZ
2023-09-05,0.001860005974670953,Prod
2023-09-05,0.007341876225131605,Prod
2023-09-05,0.025069918023796767,Prod
2023-09-05,0.0006463516754511289,Prod
2023-09-05,0.00046605995382464904,Prod
2023-09-05,5.0,Identity
2023-09-05,2.5,Prod
2023-09-05,2.5,Prod
2023-09-05,2.5,Prod
2023-09-05,2.5,Prod
2023-09-05,2.5,Prod
2023-09-05,2.5,Prod
2023-10-05,-6.002018259146812,PauliZ
2023-10-05,-7.394456294892005,PauliZ
2023-10-05,-6.530977631277042,PauliZ
2023-10-05,-12.968058626101547,PauliZ
2023-10-05,0.008817787925457843,Prod
2023-10-05,0.000934750188940292,Prod
2023-10-05,0.005759341962916276,Prod
2023-10-05,0.00425056523667533,Prod
2023-10-05,0.0010527083601170606,Prod
2023-10-05,0.0007224105191034891,Prod
2023-10-05,5.0,Identity
2023-10-05,2.5,Prod
2023-10-05,2.5,Prod
2023-10-05,2.5,Prod
2023-10-05,2.5,Prod
2023-10-05,2.5,Prod
2023-10-05,2.5,Prod
2023-11-03,-8.089190271507881,PauliZ
2023-11-03,-7.667643311258101,PauliZ
2023-11-03,-9.188088896891019,PauliZ
2023-11-03,-14.797400514854367,PauliZ
2023-11-03,0.037135706728113504,Prod
2023-11-03,0.005770142159169378,Prod
2023-11-03,0.0020797591000694116,Prod
2023-11-03,0.016929508916767366,Prod
2023-11-03,0.025546266998534017,Prod
2023-11-03,0.004435438818066961,Prod
2023-11-03,5.0,Identity
2023-11-03,2.5,Prod
2023-11-03,2.5,Prod
2023-11-03,2.5,Prod
2023-11-03,2.5,Prod
2023-11-03,2.5,Prod
2023-11-03,2.5,Prod
2023-12-04,-7.8391006106277965,PauliZ
2023-12-04,-9.528482395161898,PauliZ
2023-12-04,-10.222341654236443,PauliZ
2023-12-04,-14.269810363253802,PauliZ
2023-12-04,0.020682061266972918,Prod
2023-12-04,0.03904503210339505,Prod
2023-12-04,0.0031115725779868875,Prod
2023-12-04,0.007964532360471566,Prod
2023-12-04,0.008740999418940243,Prod
2023-12-04,5.0,Identity
2023-12-04,2.5,Prod
2023-12-04,2.5,Prod
2023-12-04,2.5,Prod
2023-12-04,2.5,Prod
2023-12-04,2.5,Prod
2023-12-04,2.5,Prod
